=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.09 16:10:48 =~=~=~=~=~=~=~=~=~=~=~=
Tem3,Setpoint:95.50,Temperature:46.44,Duty:100.00,
Time:0:0:0,Ideal:44.73,Setpoint:95.50,46.16,Duty:100.00,
Time:0:0:0,Ideal:44.73,Setpoint:95.50,Temperature:46.44,Duty:100.00,
Time:0:0:0,Ideal:44.73,Setpoint:95.50,Time:0:0:0,Ideal:51.14,Setpoint:95.50,Temperature:51.31,Duty:100.00,
Time:0:0:0,Ideal:51.14,Setpoint:95.50,Temperature:51.51,Duty:100.00,
Time:0:0:0,Ideal:51.14,Setpoint:95.50,Temperature:51.72,Duty:100.00,
Time:0:0:0,Ideal:51.14,Setpoint:95.50,Temperature:51.96,Duty:100.00,
Time:0:0:0,Ideal:51.14,Setpoint:95.50,Temperature:52.16,Duty:100.00,
Time:0:0:0,Ideal:51.14,Setpoint:95.50,Temperature:52.33,Duty:100.00,
Time:0:0:0,Ideal:51.14,Setpoint:95.50,Temperature:52.54,Duty:100.00,
Time:0:0:0,Ideal:51.14,Setpoint:95.50,Temperature:52.74,Duty:100.00,
Time:0:0:0,Ideal:51.14,Setpoint:95.50,Temperature:52.95,Duty:100.00,
Time:0:0:0,Ideal:51.14,Setpoint:95.50,Temperature:53.12,Duty:100.00,
Time:0:0:0,Ideal:51.14,Setpoint:95.50,Temperature:53.32,Duty:100.00,
Time:0:0:1,Ideal:53.14,Setpoint:95.50,Temperature:53.53,Duty:100.00,
Time:0:0:1,Ideal:53.14,Setpoint:95.50,Temperature:53.73,Duty:100.00,
Time:0:0:1,Ideal:53.14,Setpoint:95.50,Temperature:53.93,Duty:100.00,
Time:0:0:1,Ideal:53.14,Setpoint:95.50,Temperature:54.17,Duty:100.00,
Time:0:0:1,Ideal:53.14,Setpoint:95.50,Temperature:54.31,Duty:100.00,
Time:0:0:1,Ideal:53.14,Setpoint:95.50,Temperature:54.58,Duty:100.00,
Time:0:0:1,Ideal:53.14,Setpoint:95.50,Temperature:54.75,Duty:100.00,
Time:0:0:1,Ideal:53.14,Setpoint:95.50,Temperature:54.96,Duty:100.00,
Time:0:0:1,Ideal:53.14,Setpoint:95.50,Temperature:55.16,Duty:100.00,
Time:0:0:1,Ideal:53.14,Setpoint:95.50,Temperature:55.37,Duty:100.00,
Time:0:0:1,Ideal:53.14,Setpoint:95.50,Temperature:55.54,Duty:100.00,
Time:0:0:2,Ideal:55.14,Setpoint:95.50,Temperature:55.78,Duty:100.00,
Time:0:0:2,Ideal:55.14,Setpoint:95.50,Temperature:55.95,Duty:100.00,
Time:0:0:2,Ideal:55.14,Setpoint:95.50,Temperature:56.15,Duty:100.00,
Time:0:0:2,Ideal:55.14,Setpoint:95.50,Temperature:56.32,Duty:100.00,
Time:0:0:2,Ideal:55.14,Setpoint:95.50,Temperature:56.53,Duty:100.00,
Time:0:0:2,Ideal:55.14,Setpoint:95.50,Temperature:56.73,Duty:100.00,
Time:0:0:2,Ideal:55.14,Setpoint:95.50,Temperature:56.94,Duty:100.00,
Time:0:0:2,Ideal:55.14,Setpoint:95.50,Temperature:57.11,Duty:100.00,
Time:0:0:2,Ideal:55.14,Setpoint:95.50,Temperature:57.35,Duty:100.00,
Time:0:0:2,Ideal:55.14,Setpoint:95.50,Temperature:57.52,Duty:100.00,
Time:0:0:2,Ideal:55.14,Setpoint:95.50,Temperature:57.72,Duty:100.00,
Time:0:0:3,Ideal:57.14,Setpoint:95.50,Temperature:57.89,Duty:100.00,
Time:0:0:3,Ideal:57.14,Setpoint:95.50,Temperature:58.07,Duty:100.00,
Time:0:0:3,Ideal:57.14,Setpoint:95.50,Temperature:58.27,Duty:100.00,
Time:0:0:3,Ideal:57.14,Setpoint:95.50,Temperature:58.44,Duty:100.00,
Time:0:0:3,Ideal:57.14,Setpoint:95.50,Temperature:58.61,Duty:100.00,
Time:0:0:3,Ideal:57.14,Setpoint:95.50,Temperature:58.78,Duty:100.00,
Time:0:0:3,Ideal:57.14,Setpoint:95.50,Temperature:58.99,Duty:100.00,
Time:0:0:3,Ideal:57.14,Setpoint:95.50,Temperature:59.16,Duty:100.00,
Time:0:0:3,Ideal:57.14,Setpoint:95.50,Temperature:59.36,Duty:100.00,
Time:0:0:3,Ideal:57.14,Setpoint:95.50,Temperature:59.53,Duty:100.00,
Time:0:0:4,Ideal:59.14,Setpoint:95.50,Temperature:59.71,Duty:100.00,
Time:0:0:4,Ideal:59.14,Setpoint:95.50,Temperature:59.88,Duty:100.00,
Time:0:0:4,Ideal:59.14,Setpoint:95.50,Temperature:60.01,Duty:100.00,
Time:0:0:4,Ideal:59.14,Setpoint:95.50,Temperature:60.22,Duty:100.00,
Time:0:0:4,Ideal:59.14,Setpoint:95.50,Temperature:60.39,Duty:100.00,
Time:0:0:4,Ideal:59.14,Setpoint:95.50,Temperature:60.53,Duty:100.00,
Time:0:0:4,Ideal:59.14,Setpoint:95.50,Temperature:60.73,Duty:100.00,
Time:0:0:4,Ideal:59.14,Setpoint:95.50,Temperature:60.90,Duty:100.00,
Time:0:0:4,Ideal:59.14,Setpoint:95.50,Temperature:61.07,Duty:100.00,
Time:0:0:4,Ideal:59.14,Setpoint:95.50,Temperature:61.21,Duty:100.00,
Time:0:0:4,Ideal:59.14,Setpoint:95.50,Temperature:61.38,Duty:100.00,
Time:0:0:5,Ideal:61.14,Setpoint:95.50,Temperature:61.55,Duty:100.00,
Time:0:0:5,Ideal:61.14,Setpoint:95.50,Temperature:61.76,Duty:100.00,
Time:0:0:5,Ideal:61.14,Setpoint:95.50,Temperature:61.89,Duty:100.00,
Time:0:0:5,Ideal:61.14,Setpoint:95.50,Temperature:62.06,Duty:100.00,
Time:0:0:5,Ideal:61.14,Setpoint:95.50,Temperature:62.20,Duty:100.00,
Time:0:0:5,Ideal:61.14,Setpoint:95.50,Temperature:62.37,Duty:100.00,
Time:0:0:5,Ideal:61.14,Setpoint:95.50,Temperature:62.54,Duty:100.00,
Time:0:0:5,Ideal:61.14,Setpoint:95.50,Temperature:62.72,Duty:100.00,
Time:0:0:5,Ideal:61.14,Setpoint:95.50,Temperature:62.89,Duty:100.00,
Time:0:0:5,Ideal:61.14,Setpoint:95.50,Temperature:62.99,Duty:100.00,
Time:0:0:5,Ideal:61.14,Setpoint:95.50,Temperature:63.16,Duty:100.00,
